conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/190ec9a5-938c-45a5-bd9c-c12b1af33353,1112,ambassador,"resident ambassador
diplomatic ambassador
high commissioner
ordinary ambassador",Ambassadors represent their own government in foreign countries for diplomatic and peace-keeping purposes. They deal with political negotiation between the country of origin and the country where they are stationed and ensure the protection of citizens from their home nation in the nation they are stationed. They facilitate communication between the two nations and perform advisory functions to the home government to help develop foreign policy.
Occupation,http://data.europa.eu/esco/occupation/196a4c75-9591-436f-9677-67252df34c22,7532,digital prototyper,"pattern making machine operator
digital pattern maker
digital prototype technician
digital patternmaker
digital prototype operator",Digital prototyper transform paper pattern into digital form using special computer software. They operate and monitor machines which make different products related to clothing.
Occupation,http://data.europa.eu/esco/occupation/1978c6ff-37b4-48f1-9aa6-88b9c568f74f,5142,masseur/masseuse,"swedish massage therapist
deep tissue massage therapist
professional masseuse
medical masseur
thai massage therapist
salon therapist
clinical masseur/masseuse
trigger point massage therapist
professional massage therapist
massage therapist","Masseurs/masseuses perform massages to help their clients relax and de-stress according to their preferences. They use appropriate massages, equipment and oils and also instruct their clients on techniques to improve relaxation."
Occupation,http://data.europa.eu/esco/occupation/1999bdfa-f9c4-4a0b-8565-0305108ca65e,8131,dry house attendant,"drying room firework maker
pyrotechnics production worker
fireworks drying room attendant
firework drying room attendant
drying room fireworks maker
pyrotechnics drying room attendant","Dry house attendants monitor and maintain the drying room, making sure the pyrotechnics are dried and stored within the correct parameters and specifications."
Occupation,http://data.europa.eu/esco/occupation/19c2acbf-766c-4728-b960-b91252a95fd1,1420,domestic appliances shop manager,"home and electrical appliances shop manager
electrical appliances store manager
electrical appliances shop manager
domestic appliances superstore manager
electrical house appliances store manager
electrical superstore manager
electrical household goods shop manager
domestic appliances store manager
electrical household goods store manager
home appliances shop manager
shop manager (electrical household appliances)",Domestic appliances shop managers assume responsibility for activities and staff in specialised shops.
Occupation,http://data.europa.eu/esco/occupation/19c2d8bc-aa3d-4b72-b55a-50bf751873fe,7312,harpsichord maker,"harpsicord craftsman
harpsicord quality tester
harpsicord inspector
harpsicord quality inspector
harpsicord tester
harpsicord technician
harpsicord craftswoman
harpsicord builder","Harpsichord makers create and assemble parts to make harpsichords according to specified instructions or diagrams. They sand wood, tune, test and inspect the finished instrument."
Occupation,http://data.europa.eu/esco/occupation/19cb84ca-952e-4f33-b31a-c918db074a6e,7215,high rigger,"rope access rigger
bucket high rigger
height rigger
rigging crew memeber
level rigger
up rigger
climbing rigger
aerial rigger","High riggers assemble and hoist temporary suspension structures on heights to support performance equipment. Their work is based on instruction, plans and calculations. Their job can include rope access, working above colleagues, assemble constructions to lift performers and lifting heavy loads, which makes it a high risk occupation. They work indoor as well as outdoor. They cooperate with ground riggers to unload and assemble constructions on ground level."
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,2632,media scientist,"media research analyst
media studies scholar
media anthropologist
media research scientist
media analyst
media scholars
media studies researcher
media studies scientist
media science researcher
media researcher
media scientist
media studies research scientist","Media scholars research the role and impact that media has on the society. They observe and document the usage of different kinds of media such as newspapers, radio and TV and the response from society."
Occupation,http://data.europa.eu/esco/occupation/19f6634f-ec0c-4513-b0d9-d43f9ddeb82d,2635,education welfare officer,"learning advisor
wellfare officer (education)
education social worker
school based social worker
school attendance officer
education and family engagement officer
education engagement officer
senior education welfare officer
educational institution social worker
pastoral advisor
attendance welfare officer
school-based social worker
school social worker
social worker in schools
education welfare practitioner
attendance support officer
school welfare officer
social worker in education institutions
social worker in education
specialist school social worker","Education welfare officers address the social and psychological well-being of students. They counsel students concerning their personal issues that affect their school behaviour, performance and social life. These issues may range from attention deficit problems, to social and personal issues such as poverty or domestic and sexual abuse. Education welfare officers also handle the communication between the students, the parents and the school."
Occupation,http://data.europa.eu/esco/occupation/1a07bd7d-2e1d-4930-a84a-1a442b8f2a44,2643,translator,"post-editor
translator coordinator
speech-to-text interpreter
medical translator
translators
language leader
translation project manager
editorial translator
language specialist consultant
business translator
translator reviser
technical translator
reviser
language specialist
sworn translator
financial translator
video game translator
scientific translator
linguistic coordinator
literary translator
book translator","Translators transcribe written documents from one or more languages to another ensuring that the message and nuances therein remain in the translated material. They translate material backed up by an understanding of it, which can include commercial and industrial documentation, personal documents, journalism, novels, creative writing, and scientific texts delivering the translations in any format."
Occupation,http://data.europa.eu/esco/occupation/1a1ea837-0103-4230-8756-533a77c5f9f4,7213,container equipment assembler,"container equipment manufacturing assembler
container equipment assembly line inspector
container equipment assembly line worker
container equipment sub assembler
container equipment assembly line operator
container equipment final assembler
container equipment assembly line machine tender
container equipment assembly line operative
container equipment machine assembler
container equipment electronic assembler
container equipment assembly worker
container equipment machine assembly worker
container equipment mechanical assembler
container equipment bench precision assembler",Container equipment assemblers manufacture containers such as boilers or pressure vessels. They read blueprints and technical drawings to assemble parts and to build piping and fittings.
Occupation,http://data.europa.eu/esco/occupation/1a46d0f0-93d7-44d1-bff9-58e3f21bd4c4,2422,social service consultant,"social service planning consultant
social services consultant
social services developer
social planning consultant
social services planner
community development consultant
welfare consultant
social services expert
social development consultant","Social service consultants aid in the development of policy and procedure for social service programs. They research social service programs and identify areas for improvement, as well as aid in the development of new programs. They fulfil advisory functions for social service organisations."
Occupation,http://data.europa.eu/esco/occupation/1a6d1acf-5956-4ba0-95bf-b15b05a02013,8211,mechatronics assembler,"mechatronics installer
mechatronic equipment production assembler
mechatronics fitter
robotic equipment inspector
robotic equipment supervisor
mechatronic equipment repairer
mechatronic equipment inspector
robotic fitter
robotic equipment operator
mechatronic equipment supervisor
assembler in mechatronic equipment manufacture
robotic assembler
mechatronic installer
assembler of mechatronic equipment
mechatronic equipment constructor
robotic equipment repairer
mechatronic equipment fabricator
mechatronic equipment operator
mechatronic assembly technician
mechatronic equipment assembler
constructor of mechatronic equipment
mechatronics fabricator","Mechatronics assemblers assemble and maintain complex mechatronic equipment and machines, such as robots, elevators, and advanced home appliances. They build the mechanical, electrical, and electronic components, install software, set the systems in operation, and maintain and repair the components and systems."
Occupation,http://data.europa.eu/esco/occupation/1a7fb683-6544-4442-b54c-ec72ef468ff0,2166,video and motion picture director,"television director
film maker
series director
movie director
video director
motion picture director
TV director
animation supervisor
film director
television and motion picture director
animated movie director
adventure film maker
director
film-maker","Video and motion picture directors are responsible for the overall production of a movie or television program. They edit and translate the script into audiovisual images. Video and motion picture directors supervise and manage the film crew. They convey their creative vision on the actors, audio and video equipment operators, lighting technicians, etc and direct them. Video and motion picture directors also supervise the editing of the footage."
